,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,salmas,38.1973,44.7653,9.59,72,4,5.7,IR,1642971580
329,russkaya polyana,49.417,31.9201,21.0,91,100,10.71,UA,1642971580
330,bonthe,7.5264,-12.505,78.89,75,2,7.74,SL,1642971581
331,hobyo,5.3505,48.5268,77.5,67,100,21.12,SO,1642971581
332,chapais,49.7834,-74.8492,-7.82,90,100,6.87,CA,1642971581
333,cidreira,-30.1811,-50.2056,81.03,78,43,13.27,BR,1642971581
334,bac lieu,9.285,105.7244,74.08,89,0,3.18,VN,1642971582
335,olafsvik,64.8945,-23.7142,27.64,60,100,22.73,IS,1642971582
336,gobabis,-22.45,18.9667,68.58,42,23,13.85,NA,1642971582
337,ballina,-28.8667,153.5667,67.96,89,100,8.05,AU,1642971583
338,shatsk,54.0258,41.7119,6.91,99,97,7.29,RU,1642971583
339,ponta do sol,32.6667,-17.1,65.71,79,100,5.64,PT,1642971583
340,chilliwack,49.1747,-121.9443,42.84,100,100,1.14,CA,1642971338
341,idukki,9.85,76.9667,64.58,94,48,1.7,IN,1642971584
342,lufilufi,-13.8745,-171.5986,83.98,73,100,6.67,WS,1642971584
343,kruisfontein,-34.0033,24.7314,70.88,59,0,2.93,ZA,1642971584
344,uruguaiana,-29.7547,-57.0883,93.13,49,75,18.41,BR,1642971585
345,maumere,-8.6199,122.2111,79.75,84,100,7.72,ID,1642971585
346,munai,7.9758,124.0636,69.35,97,100,3.51,PH,1642971585
347,lahijan,37.2061,50.0029,40.78,49,0,5.01,IR,1642971585
348,subtanjalla,-14.0189,-75.7581,73.94,46,14,13.0,PE,1642971586
349,samarai,-10.6167,150.6667,82.44,78,72,10.8,PG,1642971586
350,santa luzia,-19.7697,-43.8514,87.08,40,20,5.75,BR,1642971586
351,saint-augustin,51.226,-58.6502,8.64,98,98,2.75,CA,1642971587
352,el cobre,20.0489,-75.9469,80.55,63,6,4.99,CU,1642971587
353,pitimbu,-7.4706,-34.8086,82.99,67,37,8.23,BR,1642971587
354,ancud,-41.8697,-73.8203,66.42,75,73,10.8,CL,1642971588
355,terrak,65.087,12.3715,46.42,79,100,27.45,NO,1642971588
356,harrison,30.4091,-89.0436,56.3,29,0,5.79,US,1642971260
357,andenes,69.3143,16.1194,44.58,81,100,37.98,NO,1642971588
358,port macquarie,-31.4333,152.9167,70.9,85,89,7.52,AU,1642971587
359,aksarka,66.5606,67.7975,1.11,97,65,10.65,RU,1642971589
360,biggar,55.6167,-3.5167,42.3,83,100,11.45,GB,1642971589
361,rantepao,-2.9701,119.8978,63.75,84,63,3.53,ID,1642971589
362,eregli,37.5133,34.0467,15.17,91,98,6.64,TR,1642971589
